column,equation,dwt_level,period_h,energy_pct,scale
price_buy_EUR_per_kWh,EQ7-input,cA_10,1024,41.9,seasonal
price_buy_EUR_per_kWh,EQ7-input,cD_10,1024,8.1,seasonal
price_buy_EUR_per_kWh,EQ7-input,cD_9,512,2.88,seasonal
price_buy_EUR_per_kWh,EQ7-input,cD_8,256,3.33,weekly
price_buy_EUR_per_kWh,EQ7-input,cD_7,128,2.55,weekly
price_buy_EUR_per_kWh,EQ7-input,cD_6,64,3.02,weekly
price_buy_EUR_per_kWh,EQ7-input,cD_5,32,2.68,daily
price_buy_EUR_per_kWh,EQ7-input,cD_4,16,8.34,daily
price_buy_EUR_per_kWh,EQ7-input,cD_3,8,22.84,daily
price_buy_EUR_per_kWh,EQ7-input,cD_2,4,3.11,intra-hourly
price_buy_EUR_per_kWh,EQ7-input,cD_1,2,1.26,intra-hourly
load_demand_kW,EQ1-input,cA_10,1024,20.08,seasonal
load_demand_kW,EQ1-input,cD_10,1024,6.42,seasonal
load_demand_kW,EQ1-input,cD_9,512,4.66,seasonal
load_demand_kW,EQ1-input,cD_8,256,4.24,weekly
load_demand_kW,EQ1-input,cD_7,128,27.22,weekly
load_demand_kW,EQ1-input,cD_6,64,16.69,weekly
load_demand_kW,EQ1-input,cD_5,32,6.06,daily
load_demand_kW,EQ1-input,cD_4,16,7.76,daily
load_demand_kW,EQ1-input,cD_3,8,5.62,daily
load_demand_kW,EQ1-input,cD_2,4,0.94,intra-hourly
load_demand_kW,EQ1-input,cD_1,2,0.3,intra-hourly
pv_generation_kW,EQ8,cA_10,1024,30.55,seasonal
pv_generation_kW,EQ8,cD_10,1024,0.41,seasonal
pv_generation_kW,EQ8,cD_9,512,0.76,seasonal
pv_generation_kW,EQ8,cD_8,256,0.63,weekly
pv_generation_kW,EQ8,cD_7,128,1.41,weekly
pv_generation_kW,EQ8,cD_6,64,1.2,weekly
pv_generation_kW,EQ8,cD_5,32,4.27,daily
pv_generation_kW,EQ8,cD_4,16,39.12,daily
pv_generation_kW,EQ8,cD_3,8,15.36,daily
pv_generation_kW,EQ8,cD_2,4,4.15,intra-hourly
pv_generation_kW,EQ8,cD_1,2,2.14,intra-hourly
grid_buy_kW,"EQ1,EQ7",cA_10,1024,8.39,seasonal
grid_buy_kW,"EQ1,EQ7",cD_10,1024,0.33,seasonal
grid_buy_kW,"EQ1,EQ7",cD_9,512,0.79,seasonal
grid_buy_kW,"EQ1,EQ7",cD_8,256,0.55,weekly
grid_buy_kW,"EQ1,EQ7",cD_7,128,1.63,weekly
grid_buy_kW,"EQ1,EQ7",cD_6,64,1.47,weekly
grid_buy_kW,"EQ1,EQ7",cD_5,32,2.97,daily
grid_buy_kW,"EQ1,EQ7",cD_4,16,23.24,daily
grid_buy_kW,"EQ1,EQ7",cD_3,8,26.45,daily
grid_buy_kW,"EQ1,EQ7",cD_2,4,19.81,intra-hourly
grid_buy_kW,"EQ1,EQ7",cD_1,2,14.37,intra-hourly
grid_sell_kW,"EQ1,EQ7",cA_10,1024,7.07,seasonal
grid_sell_kW,"EQ1,EQ7",cD_10,1024,0.22,seasonal
grid_sell_kW,"EQ1,EQ7",cD_9,512,0.81,seasonal
grid_sell_kW,"EQ1,EQ7",cD_8,256,0.64,weekly
grid_sell_kW,"EQ1,EQ7",cD_7,128,4.29,weekly
grid_sell_kW,"EQ1,EQ7",cD_6,64,3.84,weekly
grid_sell_kW,"EQ1,EQ7",cD_5,32,7.16,daily
grid_sell_kW,"EQ1,EQ7",cD_4,16,20.52,daily
grid_sell_kW,"EQ1,EQ7",cD_3,8,9.25,daily
grid_sell_kW,"EQ1,EQ7",cD_2,4,35.71,intra-hourly
grid_sell_kW,"EQ1,EQ7",cD_1,2,10.48,intra-hourly
battery_charge_kW,"EQ1,EQ2,EQ5",cA_10,1024,12.69,seasonal
battery_charge_kW,"EQ1,EQ2,EQ5",cD_10,1024,0.33,seasonal
battery_charge_kW,"EQ1,EQ2,EQ5",cD_9,512,0.16,seasonal
battery_charge_kW,"EQ1,EQ2,EQ5",cD_8,256,0.17,weekly
battery_charge_kW,"EQ1,EQ2,EQ5",cD_7,128,0.51,weekly
battery_charge_kW,"EQ1,EQ2,EQ5",cD_6,64,0.3,weekly
battery_charge_kW,"EQ1,EQ2,EQ5",cD_5,32,1.14,daily
battery_charge_kW,"EQ1,EQ2,EQ5",cD_4,16,7.63,daily
battery_charge_kW,"EQ1,EQ2,EQ5",cD_3,8,24.84,daily
battery_charge_kW,"EQ1,EQ2,EQ5",cD_2,4,29.88,intra-hourly
battery_charge_kW,"EQ1,EQ2,EQ5",cD_1,2,22.35,intra-hourly
battery_discharge_kW,"EQ1,EQ2,EQ6",cA_10,1024,9.44,seasonal
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_10,1024,0.09,seasonal
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_9,512,0.12,seasonal
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_8,256,0.14,weekly
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_7,128,0.29,weekly
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_6,64,0.34,weekly
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_5,32,1.24,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_4,16,10.83,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_3,8,50.34,daily
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_2,4,15.73,intra-hourly
battery_discharge_kW,"EQ1,EQ2,EQ6",cD_1,2,11.43,intra-hourly
stored_energy_kWh,"EQ2,EQ3,EQ4",cA_10,1024,35.1,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_10,1024,1.29,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_9,512,0.59,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_8,256,0.66,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_7,128,2.33,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_6,64,1.26,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_5,32,4.41,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_4,16,40.13,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_3,8,9.44,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_2,4,4.01,intra-hourly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_1,2,0.76,intra-hourly
